p,d,q,MAPE
1,18,6,649409620.5884506
1,18,7,167509725.59922028
1,18,8,1764397464.2822747
1,18,9,1409938102.1913795
1,18,10,1172426229.7529235
1,18,11,756000736.0858979
1,18,12,435376438.6179025
1,18,13,880621925.0110878
1,18,14,80909480262585.44
1,18,15,435614926.61730844
1,18,16,305632274617880.1
1,18,17,2301470845.9099693
1,18,18,3113878579.765314
1,18,19,1749284127.874067
1,19,1,203329256575.8309
1,19,2,1166061491.481206
1,19,3,21655683624.835655
1,19,4,14989979811.356482
1,19,5,7891534451.790235
1,19,6,3836202985.042078
1,19,7,988962623.7272393
1,19,8,5562566854.180451
1,19,9,3637029248.435366
1,19,10,2969201666.4120216
1,19,11,2162975847.8091946
1,19,12,1173721722.6759121
1,19,13,2522148249.6071396
1,19,14,3173614454.120339
1,19,15,367366683.32231635
1,19,16,6.799871056826937e+21
1,19,17,11913112426.219057
1,19,18,8143788604.995492
1,19,19,5623098398.63199
2,1,1,21.96596318691278
2,1,2,22.48957012958345
2,1,3,12.355320569445157
2,1,4,17.839830429942424
2,1,5,15.34726979553565
2,1,6,16.836476172119884
2,1,7,15.889685020897733
2,1,8,16.40940046637461
2,1,9,14.832048435687838
2,1,10,14.566837358624854
2,1,11,10.853858093642431
2,1,12,10.844802770506128
2,1,13,14.182030209512472
2,1,14,14.306396662437363
2,1,15,14.910186600718593
2,1,16,14.571257853668444
2,1,17,14.492112537431986
2,1,18,14.259269844352133
2,1,19,13.218660671341087
2,2,1,7.686574636393368
2,2,2,8.045400939605738
2,2,3,7.009322510895942
2,2,4,9.204646360541984
2,2,5,8.903140062471191
2,2,6,9.794836419313595
2,2,7,10.890101837475537
2,2,8,9.040600259641874
2,2,9,8.845015522502408
2,2,10,8.9691252782118
2,2,11,9.322875938685044
2,2,12,10.940414522418687
2,2,13,12.170984863754274
2,2,14,12.093449357819209
2,2,15,12.440143944191501
2,2,16,5.864511513583314
2,2,17,6.509505166281558
2,2,18,16.77264749172932
2,2,19,11.101218352396456
2,3,1,68.99983897806634
2,3,2,5.807512566675684
2,3,3,4.19539612472886
2,3,4,25.596137823284256
2,3,5,3.6074200031126624
2,3,6,70.01964778997977
2,3,7,47.01264434452466
2,3,8,32.22171680763765
2,3,9,53.28110794502573
2,3,10,37.239852882438
2,3,11,59.99213133498262
2,3,12,64.34544600771288
2,3,13,67.37167563135968
2,3,14,41.87496740178942
2,3,15,58.45319770059585
2,3,16,50.65047552150913
2,3,17,76.81963770127
2,3,18,87.199885661672
2,3,19,23.28836955862975
2,4,1,382.67976587512885
2,4,2,119.67091241240537
2,4,3,65.12326187800004
2,4,4,45.51767107152618
2,4,5,61.28486291486522
2,4,6,62.655028849715286
2,4,7,53.99143893700501
2,4,8,74.79564163589755
2,4,9,76.54444422894754
2,4,10,56.79115925811683
2,4,11,48.56591694180048
2,4,12,54.95298204766359
2,4,13,96.30700590886781
2,4,14,141.7869180039134
2,4,15,178.69975583930372
2,4,16,183.4682098925665
2,4,17,312.48607429717663
2,4,18,282.4167241886368
2,4,19,130.1848303907856
2,5,1,397.7854772326092
2,5,2,546.6661789008821
2,5,3,120.18041225963536
2,5,4,158.9698393167974
2,5,5,41.572509008070696
2,5,6,124.96610113116613
2,5,7,178.7708978566802
2,5,8,206.46544138789707
2,5,9,332.8206038974164
2,5,10,425.1907068529519
2,5,11,751.3151427249907
2,5,12,803.6834318692185
2,5,13,635.6188606775596
2,5,14,749.7420540079147
2,5,15,826.5392023229742
2,5,16,802.4076076176066
2,5,17,1202.7547081464713
2,5,18,667.2307630643517
2,5,19,700.899651771001
2,6,1,14419.211865343215
2,6,2,614.9601137219533
2,6,3,1014.2125313985301
2,6,4,1075.210491988601
2,6,5,530.1632926832358
2,6,6,127.23808603614242
2,6,7,1116.3495791387184
2,6,8,1294.4322574282855
2,6,9,1290.6646637098015
2,6,10,1558.1372205429377
2,6,11,2410.8355450929625
2,6,12,2664.231702612396
2,6,13,3158.537612120192
2,6,14,2855.58981016451
2,6,15,3119.156762982637
2,6,16,3506.1952959895516
2,6,17,3374.0102387470934
2,6,18,2418.8677566721617
2,6,19,613808920.5767248
2,7,1,79808.52966653752
2,7,2,19465.48541810977
2,7,3,826.0490607450304
2,7,4,3200.194747043707
